snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,KC,Jeff Caldwell,WR,IR,,sleeper
2026-09-02,2026,,WAS,Jordan Magee,LB,Questionable,,sleeper
2026-09-02,2026,,TEN,Dorian Mausi,LB,IR,,sleeper
2026-09-02,2026,,NYG,Thaddeus Dixon,CB,IR,,sleeper
2026-09-02,2026,,LV,Ashton Jeanty,RB,Questionable,,sleeper
2026-09-02,2026,,LV,Keyron Crawford,DE,IR,,sleeper
2026-09-02,2026,,SF,Luke Gifford,LB,Questionable,,sleeper
2026-09-02,2026,,MIA,Ben Sims,TE,IR,,sleeper
2026-09-02,2026,,NYG,Dru Phillips,DB,Questionable,,sleeper
2026-09-02,2026,,CAR,Ikem Ekwonu,T,PUP,,sleeper
2026-09-02,2026,,MIA,Ollie Gordon,RB,Questionable,,sleeper
2026-09-02,2026,,BUF,Jude Bowry,OT,Questionable,,sleeper
2026-09-02,2026,,WAS,Deatrich Wise,DE,PUP,,sleeper
2026-09-02,2026,,WAS,Curtis Jacobs,LB,IR,,sleeper
2026-09-02,2026,,NYG,Tyrone Tracy,RB,Questionable,,sleeper
2026-09-02,2026,,LAC,Tyler Biadasz,C,IR,,sleeper
2026-09-02,2026,,NO,Pete Werner,LB,Questionable,,sleeper
2026-09-02,2026,,DEN,Marvin Mims,WR,Questionable,,sleeper
2026-09-02,2026,,ATL,Jalon Walker,DL,IR,,sleeper
2026-09-02,2026,,ATL,Michael Penix,QB,Questionable,,sleeper
2026-09-02,2026,,TEN,Carnell Tate,WR,Questionable,,sleeper
2026-09-02,2026,,GB,Thomas Yassmin,TE,IR,,sleeper
2026-09-02,2026,,HOU,Jadeveon Clowney,DE,Questionable,,sleeper
2026-09-02,2026,,NYG,Colton Hood,DB,Questionable,,sleeper
2026-09-02,2026,,ARI,Jeremiyah Love,RB,Questionable,,sleeper
2026-09-02,2026,,NO,Devin Neal,RB,IR,,sleeper
2026-09-02,2026,,PIT,Will Howard,QB,Questionable,,sleeper
2026-09-02,2026,,DAL,DJ Rogers,TE,IR,,sleeper
2026-09-02,2026,,LAR,Shaun Dolac,LB,Questionable,,sleeper
2026-09-02,2026,,JAX,Bhayshul Tuten,RB,Questionable,,sleeper
2026-09-02,2026,,WAS,Drake Jackson,DL,IR,,sleeper
2026-09-02,2026,,ARI,Josh Minkins,DB,Questionable,,sleeper
2026-09-02,2026,,ARI,Kaleb Proctor,DT,IR,,sleeper
2026-09-02,2026,,JAX,Sam Mustipher,OL,IR,,sleeper
2026-09-02,2026,,NYG,Malik Nabers,WR,Questionable,,sleeper
